IdCliente;Sexo;Jubilado;Pareja;Dependientes;Antigüedad;Teléfono;MultiplesLíneas;Internet;SeguridadOnline;BackupOnline;SeguroDispositivo;SoporteTécnico;Televisión;Cine;Contrato;FacturaElectrónica;MétodoPago;CargoMensual;TotalFacturado;Baja
3276-HDUEG;Mujer;0;No;No;1;Sí;Sí;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque por correo;75.05;75.05;Sí
9092-GDZKO;Hombre;0;No;No;22;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Tarjeta crédito (automática);24.85;493.4;No
0823-HSCDJ;Hombre;1;No;No;52;No;Sin servicio de telefonía;DSL;No;Sí;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;49.15;2550.9;Sí
3729-OWRVL;Hombre;1;No;No;65;Sí;Sí;Fibra óptica;Sí;No;Sí;Sí;Sí;Sí;Dos años;Sí;Cheque electrónico;110.35;7246.15;No
2324-AALNO;Mujer;0;No;No;48;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Transferencia bancaria (automática);24.55;1203.95;No
0822-GAVAP;Mujer;0;No;No;2;No;Sin servicio de telefonía;DSL;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;34.7;62.25;Sí
5760-IFJOZ;Hombre;0;No;No;3;Sí;Sí;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Mes a mes;No;Cheque por correo;107.95;313.6;No
2826-UWHIS;Hombre;0;Sí;No;45;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);81.4;3775.85;No
1448-PWKYE;Hombre;0;Sí;Sí;1;Sí;No;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;No;Cheque electrónico;80;80;Sí
7501-IWUNG;Mujer;0;Sí;Sí;61;Sí;No;DSL;No;No;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);73.8;4616.05;No
4957-TREIR;Hombre;0;No;No;3;Sí;No;DSL;Sí;No;No;Sí;Sí;No;Mes a mes;Sí;Tarjeta crédito (automática);64.4;195.65;No
7251-LJBQN;Mujer;1;No;No;40;Sí;Sí;Fibra óptica;No;No;Sí;Sí;Sí;Sí;Un año;Sí;Tarjeta crédito (automática);103.75;4188.4;No
8040-MNRTF;Mujer;0;No;No;1;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;No;Cheque por correo;71.1;71.1;No
1536-HBSWP;Mujer;0;No;No;1;Sí;No;DSL;No;No;No;Sí;No;No;Mes a mes;Sí;Cheque electrónico;49.9;49.9;No
5313-FPXWG;Hombre;0;No;No;51;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;Sí;Transferencia bancaria (automática);24.6;1266.4;No
0067-DKWBL;Hombre;1;No;No;2;Sí;No;DSL;Sí;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;49.25;91.1;Sí
0946-FKYTX;Hombre;0;No;No;52;No;Sin servicio de telefonía;DSL;No;Sí;No;No;No;No;Un año;No;Cheque por correo;30.1;1623.4;No
5076-YVXCM;Hombre;0;No;No;51;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;No;Transferencia bancaria (automática);83.4;4149.45;No
8262-COGGB;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Cheque por correo;20.45;20.45;No
6663-JOCQO;Hombre;0;Sí;Sí;31;Sí;Sí;DSL;Sí;Sí;No;Sí;No;Sí;Un año;Sí;Transferencia bancaria (automática);75.25;2344.5;No
9620-QJREV;Hombre;0;No;Sí;47;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Tarjeta crédito (automática);20.55;1013.05;No
2276-YDAVZ;Mujer;0;No;No;3;Sí;Sí;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);75.1;270.7;Sí
2682-KEVRP;Mujer;1;No;No;22;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;Sí;Cheque por correo;20.05;417;No
2480-JZOSN;Mujer;0;Sí;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Cheque por correo;20.65;20.65;No
0078-XZMHT;Hombre;0;Sí;No;72;Sí;Sí;DSL;No;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);85.15;6316.2;No
5896-NPFWW;Hombre;0;Sí;Sí;3;Sí;No;DSL;No;No;Sí;No;No;No;Mes a mes;Sí;Cheque electrónico;50.15;168.15;Sí
9978-HYCIN;Hombre;1;Sí;Sí;47;Sí;No;Fibra óptica;No;Sí;No;No;Sí;No;Un año;Sí;Transferencia bancaria (automática);84.95;4018.05;No
8338-QIUNR;Hombre;0;Sí;Sí;72;Sí;Sí;DSL;Sí;No;Sí;Sí;No;No;Dos años;Sí;Tarjeta crédito (automática);66.5;4811.6;No
1525-LNLOJ;Hombre;0;Sí;Sí;66;Sí;Sí;DSL;No;No;Sí;No;Sí;No;Dos años;Sí;Transferencia bancaria (automática);63.3;4189.7;No
9450-TRJUU;Hombre;0;No;No;35;Sí;Sí;Fibra óptica;No;No;No;No;Sí;No;Mes a mes;No;Cheque electrónico;83.15;2848.45;No
1766-GKNMI;Hombre;0;No;No;29;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;84.9;2516.2;No
6942-LBFDP;Mujer;0;No;No;2;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Cheque por correo;20.55;33.6;No
1456-TWCGB;Hombre;0;No;No;4;Sí;No;DSL;No;Sí;No;No;No;No;Mes a mes;No;Cheque por correo;49.25;208.45;No
7133-VBDCG;Mujer;0;No;No;25;Sí;No;Fibra óptica;Sí;Sí;No;No;No;No;Mes a mes;Sí;Transferencia bancaria (automática);79.85;2015.35;Sí
7596-ZYWBB;Mujer;0;No;No;65;Sí;No;DSL;Sí;Sí;No;Sí;No;No;Dos años;Sí;Cheque por correo;59.6;3739.8;No
8329-UTMVM;Hombre;1;No;No;27;Sí;Sí;Fibra óptica;No;Sí;No;Sí;Sí;Sí;Un año;Sí;Transferencia bancaria (automática);104.65;2964;No
3014-WJKSM;Hombre;0;Sí;No;29;Sí;No;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);75.3;2263.4;No
3347-YJZZE;Hombre;0;Sí;Sí;29;Sí;Sí;DSL;No;Sí;Sí;No;Sí;Sí;Mes a mes;No;Tarjeta crédito (automática);80.1;2211.8;No
1029-QFBEN;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;19.55;19.55;Sí
7929-DMBCV;Mujer;0;Sí;No;20;Sí;No;Fibra óptica;No;No;Sí;Sí;No;No;Mes a mes;Sí;Cheque por correo;81;1683.7;No
9661-JALZV;Mujer;0;No;No;58;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Tarjeta crédito (automática);24.7;1519;No
5433-KYGHE;Mujer;0;No;Sí;14;Sí;Sí;Fibra óptica;Sí;No;No;Sí;No;No;Mes a mes;Sí;Cheque por correo;86;1164.05;No
4312-KFRXN;Hombre;0;Sí;No;72;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;25.4;1710.9;No
5575-TPIZQ;Hombre;0;No;No;46;Sí;Sí;Fibra óptica;Sí;No;No;No;Sí;No;Mes a mes;Sí;Tarjeta crédito (automática);89.15;4245.55;No
0114-IGABW;Mujer;0;Sí;No;71;No;Sin servicio de telefonía;DSL;No;Sí;Sí;Sí;Sí;Sí;Dos años;No;Transferencia bancaria (automática);58.25;4145.9;No
9944-AEXBM;Hombre;0;No;No;32;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;Sí;Transferencia bancaria (automática);85.65;2664.3;No
1853-ARAAQ;Mujer;0;No;No;26;No;Sin servicio de telefonía;DSL;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);50.35;1277.5;No
6952-OMNWB;Hombre;1;Sí;No;68;Sí;Sí;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);80.35;5589.3;No
4697-LUPSU;Hombre;0;Sí;Sí;2;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Cheque por correo;20.2;34.75;No
8434-VGEQQ;Hombre;0;Sí;Sí;61;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Tarjeta crédito (automática);20.55;1305.95;No
4952-YSOGZ;Mujer;0;Sí;Sí;4;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;85.95;381.3;Sí
1589-AGTLK;Hombre;0;No;No;3;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;45.35;141.5;Sí
5244-IRFIH;Hombre;1;Sí;No;33;Sí;Sí;Fibra óptica;No;No;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;94.5;3105.55;Sí
6549-YMFAW;Hombre;1;Sí;No;9;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Cheque por correo;21.25;204.55;No
4950-HKQTE;Mujer;0;No;No;22;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;26.25;605.9;No
6786-OBWQR;Mujer;0;Sí;Sí;5;Sí;No;Fibra óptica;No;No;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;80.85;356.1;No
2684-EIWEO;Mujer;1;No;No;30;Sí;Sí;Fibra óptica;Sí;Sí;Sí;No;No;No;Mes a mes;No;Tarjeta crédito (automática);91.7;2758.15;Sí
2753-JMMCV;Hombre;0;No;No;65;Sí;Sí;DSL;No;Sí;Sí;Sí;No;Sí;Dos años;Sí;Tarjeta crédito (automática);74.2;4805.65;No
6439-GTPCA;Mujer;0;No;No;45;Sí;Sí;Fibra óptica;No;No;Sí;Sí;No;No;Mes a mes;Sí;Cheque electrónico;87.25;3941.7;Sí
6621-YOBKI;Hombre;0;No;No;5;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.35;92.75;No
1216-JWVUX;Hombre;0;Sí;Sí;25;Sí;No;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;Sí;Cheque electrónico;75.5;1901.05;No
7564-GHCVB;Mujer;0;Sí;Sí;72;Sí;Sí;Fibra óptica;Sí;No;No;No;No;No;Dos años;No;Transferencia bancaria (automática);79.05;5730.7;No
1173-NOEYG;Mujer;0;Sí;No;27;Sí;Sí;Fibra óptica;No;No;Sí;No;No;Sí;Mes a mes;No;Transferencia bancaria (automática);90.15;2423.4;No
7595-EHCDL;Hombre;0;Sí;Sí;32;No;Sin servicio de telefonía;DSL;No;No;Sí;No;Sí;Sí;Mes a mes;No;Tarjeta crédito (automática);50.6;1653.45;No
6647-ZEDXT;Mujer;0;No;No;30;Sí;Sí;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Un año;No;Tarjeta crédito (automática);110.45;3327.05;No
2521-NPUZR;Hombre;0;Sí;No;70;Sí;No;Fibra óptica;Sí;Sí;Sí;Sí;No;Sí;Dos años;No;Tarjeta crédito (automática);101;7085.5;No
1307-TVUFB;Hombre;1;No;No;42;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;Sí;Transferencia bancaria (automática);79.35;3344.1;No
7503-MIOGA;Mujer;1;Sí;No;72;Sí;Sí;DSL;Sí;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);89.85;6697.35;No
4381-MHQDC;Mujer;0;No;No;47;Sí;Sí;DSL;Sí;No;Sí;Sí;No;No;Dos años;Sí;Cheque por correo;65;2879.9;No
6923-JHPMP;Mujer;0;No;No;2;Sí;No;Fibra óptica;Sí;No;Sí;No;No;No;Mes a mes;Sí;Cheque electrónico;80.45;137.1;No
5138-WVKYJ;Hombre;0;No;No;10;Sí;Sí;Fibra óptica;Sí;No;No;No;Sí;Sí;Mes a mes;No;Cheque electrónico;98.55;1008.55;Sí
4018-PPNDW;Mujer;0;Sí;Sí;61;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Cheque por correo;24.1;1551.6;No
1635-FJFCC;Mujer;0;No;No;5;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);44.05;202.15;No
2499-AJYUA;Mujer;1;Sí;No;72;Sí;Sí;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);110.8;7882.25;No
6919-ELBGL;Hombre;1;Sí;Sí;72;Sí;Sí;Fibra óptica;Sí;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);114.95;8196.4;No
3966-HRMZA;Mujer;1;No;No;3;Sí;No;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;No;Cheque por correo;75.05;202.9;No
6425-JWTDV;Hombre;0;Sí;No;48;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;19.25;855.1;No
8405-IGQFX;Mujer;0;No;No;63;Sí;No;Fibra óptica;No;No;Sí;Sí;Sí;No;Un año;Sí;Tarjeta crédito (automática);90.05;5817;No
8224-IVVPA;Mujer;0;No;No;27;Sí;No;DSL;Sí;Sí;No;No;No;No;Mes a mes;Sí;Cheque por correo;56.7;1652.95;No
9477-LGWQI;Hombre;0;Sí;Sí;70;Sí;No;DSL;Sí;Sí;Sí;No;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);80.15;5600.15;No
1410-RSCMR;Hombre;0;Sí;Sí;7;Sí;No;DSL;Sí;No;Sí;Sí;No;Sí;Mes a mes;Sí;Tarjeta crédito (automática);71.35;515.75;No
3115-CZMZD;Hombre;0;No;Sí;0;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;20.25; ;No
0139-IVFJG;Mujer;0;Sí;No;2;Sí;No;Fibra óptica;Sí;Sí;No;No;Sí;No;Mes a mes;No;Cheque electrónico;90.35;190.5;No
6683-VLCTZ;Hombre;1;No;No;20;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;98.55;1842.8;Sí
5730-DBDSI;Hombre;0;No;No;66;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Transferencia bancaria (automática);19.7;1253.8;No
0030-FNXPP;Mujer;0;No;No;3;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;19.85;57.2;No
2189-WWOEW;Mujer;0;No;Sí;15;Sí;No;Fibra óptica;No;Sí;No;No;No;Sí;Mes a mes;Sí;Transferencia bancaria (automática);85.9;1269.55;Sí
5684-FJVYR;Mujer;0;Sí;Sí;72;Sí;Sí;Fibra óptica;Sí;Sí;No;Sí;No;No;Dos años;Sí;Transferencia bancaria (automática);90.35;6563.4;No
4013-GUXND;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.8;20.8;No
1894-IGFSG;Mujer;0;No;No;22;Sí;No;Fibra óptica;No;No;No;No;Sí;Sí;Mes a mes;No;Cheque electrónico;89.25;1907.85;Sí
7379-POKDZ;Hombre;0;Sí;No;3;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;70.3;208.85;Sí
1266-NZYUI;Mujer;0;Sí;Sí;72;Sí;Sí;DSL;Sí;No;Sí;Sí;No;No;Dos años;No;Transferencia bancaria (automática);66.85;4758.8;No
7969-FFOWG;Hombre;0;Sí;Sí;65;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;19.9;1292.6;No
4718-DHSMV;Mujer;0;No;No;11;No;Sin servicio de telefonía;DSL;No;No;No;No;Sí;No;Mes a mes;Sí;Cheque por correo;35.8;363.15;No
5175-WLYXL;Hombre;0;No;No;22;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;Sí;Cheque por correo;78.85;1600.25;No
7817-OMJNA;Hombre;0;No;No;14;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Transferencia bancaria (automática);20.4;275.7;No
8728-SKJLR;Hombre;0;No;No;41;Sí;No;Fibra óptica;No;No;No;Sí;No;No;Mes a mes;Sí;Cheque electrónico;74.25;3089.1;No
3137-NYQQI;Hombre;0;Sí;No;17;Sí;No;DSL;Sí;Sí;No;No;No;Sí;Un año;No;Cheque por correo;64.8;1175.6;No
7706-DZNKK;Hombre;0;No;No;11;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Tarjeta crédito (automática);20.45;237.3;No
0236-HFWSV;Hombre;0;No;No;15;Sí;Sí;Fibra óptica;No;No;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;93.35;1444.65;Sí
3900-AQPHZ;Mujer;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;19.9;19.9;Sí
5842-POCOP;Mujer;0;Sí;No;5;Sí;No;Fibra óptica;Sí;No;Sí;No;No;Sí;Mes a mes;Sí;Cheque por correo;88.9;454.15;Sí
2037-XJFUP;Hombre;0;Sí;No;33;Sí;No;Fibra óptica;No;No;Sí;No;Sí;Sí;Un año;Sí;Cheque electrónico;95.8;3036.75;Sí
8823-RLPWL;Mujer;0;Sí;No;72;Sí;Sí;Fibra óptica;Sí;Sí;Sí;No;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);110.65;8065.65;No
9505-SQFSW;Mujer;0;Sí;Sí;3;No;Sin servicio de telefonía;DSL;No;Sí;No;No;No;Sí;Mes a mes;No;Cheque por correo;40.3;92.5;No
7314-OXENN;Hombre;0;No;No;2;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;Sí;Cheque electrónico;82;184.65;Sí
3758-CKOQL;Mujer;0;Sí;No;59;Sí;Sí;Fibra óptica;Sí;Sí;Sí;Sí;No;Sí;Un año;Sí;Tarjeta crédito (automática);107;6152.3;No
0322-CHQRU;Hombre;0;No;No;2;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electrónico;45.35;89.5;Sí
5676-CFLYY;Hombre;0;Sí;Sí;71;Sí;No;DSL;No;Sí;No;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);73.35;5154.5;No
7521-AFHAB;Mujer;0;Sí;Sí;5;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque por correo;44.8;220.45;No
0285-INHLN;Hombre;0;Sí;Sí;27;Sí;No;DSL;Sí;Sí;No;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);54.75;1510.3;No
4678-DVQEO;Mujer;0;No;No;1;Sí;No;DSL;No;No;No;Sí;No;No;Mes a mes;Sí;Cheque electrónico;52.2;52.2;Sí
5125-CNDSP;Hombre;0;No;Sí;63;No;Sin servicio de telefonía;DSL;Sí;Sí;No;Sí;No;No;Un año;Sí;Transferencia bancaria (automática);40.6;2588.95;No
0691-IFBQW;Mujer;1;No;No;46;Sí;Sí;Fibra óptica;Sí;Sí;Sí;No;Sí;Sí;Un año;Sí;Cheque electrónico;110;4874.8;Sí
4992-LTJNE;Hombre;0;Sí;Sí;72;Sí;Sí;DSL;Sí;No;No;No;No;No;Dos años;No;Transferencia bancaria (automática);55.3;3983.6;No
2202-OUTMO;Mujer;0;Sí;No;34;Sí;Sí;DSL;Sí;No;No;Sí;No;No;Mes a mes;Sí;Transferencia bancaria (automática);60.85;2003.6;No
0810-BDHAW;Mujer;0;Sí;Sí;24;Sí;Sí;DSL;Sí;Sí;No;No;Sí;Sí;Un año;No;Cheque electrónico;78.4;1832.4;No
0229-LFJAF;Hombre;0;No;No;72;Sí;Sí;DSL;Sí;Sí;Sí;Sí;No;No;Dos años;No;Transferencia bancaria (automática);69.65;4908.25;No
7131-ZQZNK;Mujer;0;Sí;Sí;60;No;Sin servicio de telefonía;DSL;Sí;No;Sí;Sí;Sí;Sí;Dos años;No;Tarjeta crédito (automática);59.85;3590.2;No
3442-ZHHCC;Hombre;0;No;No;68;Sí;Sí;DSL;Sí;Sí;Sí;No;No;Sí;Un año;Sí;Tarjeta crédito (automática);76.9;5023;No
5726-CVNYA;Mujer;0;Sí;Sí;8;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Cheque por correo;19.85;146.6;No
9871-ELEYA;Mujer;0;No;Sí;34;Sí;No;DSL;Sí;No;Sí;Sí;Sí;No;Dos años;No;Tarjeta crédito (automática);67.65;2339.3;No
4257-GAESD;Mujer;0;No;No;6;No;Sin servicio de telefonía;DSL;No;No;No;No;Sí;Sí;Mes a mes;No;Tarjeta crédito (automática);45;298.7;No
5173-WXOQV;Hombre;0;Sí;No;2;Sí;No;DSL;No;Sí;No;Sí;No;Sí;Mes a mes;Sí;Cheque por correo;64.2;143.65;No
2040-OBMLJ;Hombre;0;No;No;31;Sí;Sí;Fibra óptica;No;No;No;Sí;No;No;Un año;No;Tarjeta crédito (automática);81.7;2548.65;No
6286-ZHAOK;Mujer;0;Sí;Sí;20;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;Sí;Transferencia bancaria (automática);25.55;507.4;No
3807-XHCJH;Mujer;0;Sí;Sí;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque electrónico;20;20;No
3009-JWMPU;Hombre;0;No;No;62;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Un año;Sí;Cheque electrónico;96.75;6125.4;Sí
5671-RQRLP;Mujer;1;Sí;No;70;Sí;Sí;Fibra óptica;No;No;No;No;No;No;Dos años;Sí;Tarjeta crédito (automática);75.65;5411.4;No
1450-GALXR;Mujer;0;No;No;10;Sí;Sí;Fibra óptica;No;No;No;Sí;Sí;Sí;Mes a mes;Sí;Cheque electrónico;98.5;1058.25;Sí
8859-AXJZP;Hombre;0;Sí;Sí;39;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Cheque por correo;23.8;903.8;No
3174-AKMAS;Mujer;0;Sí;No;46;Sí;No;DSL;No;Sí;No;Sí;Sí;No;Dos años;Sí;Tarjeta crédito (automática);64.2;3009.5;No
3138-BKYAV;Hombre;0;No;No;6;Sí;No;Fibra óptica;No;Sí;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;85.35;489.45;Sí
9926-PJHDQ;Mujer;0;Sí;Sí;72;Sí;Sí;DSL;No;No;Sí;No;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);76.8;5468.45;No
7382-DFJTU;Hombre;0;No;No;18;Sí;No;DSL;No;No;Sí;Sí;No;No;Mes a mes;No;Tarjeta crédito (automática);55.2;1058.1;No
2798-NYLMZ;Hombre;0;Sí;No;71;Sí;Sí;Fibra óptica;Sí;No;Sí;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);108.55;7616;No
4289-DTDKW;Hombre;0;Sí;No;40;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;101.3;4113.1;Sí
1820-TQVEV;Hombre;0;No;No;1;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;69.55;69.55;Sí
2239-JALAW;Hombre;0;No;No;58;Sí;Sí;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Un año;Sí;Transferencia bancaria (automática);103.25;6017.65;Sí
4853-RULSV;Hombre;0;No;No;70;Sí;Sí;Fibra óptica;Sí;No;No;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);104;7250.15;Sí
8098-TDCBU;Mujer;0;Sí;No;42;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque electrónico;25.25;1108.2;No
3551-GAEGL;Hombre;0;Sí;Sí;34;No;Sin servicio de telefonía;DSL;Sí;No;No;No;No;No;Un año;No;Transferencia bancaria (automática);30.4;938.65;No
4785-NKHCX;Hombre;1;No;No;5;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Transferencia bancaria (automática);20.05;94.15;No
3196-NVXLZ;Mujer;0;No;No;25;Sí;Sí;Fibra óptica;No;No;No;No;Sí;No;Mes a mes;Sí;Cheque por correo;84.6;2088.05;No
6275-YDUVO;Mujer;0;No;No;2;Sí;No;Fibra óptica;No;No;Sí;No;No;Sí;Mes a mes;Sí;Cheque por correo;86.2;178.7;Sí
0036-IHMOT;Mujer;0;Sí;Sí;55;Sí;No;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Un año;Sí;Transferencia bancaria (automática);103.7;5656.75;No
